fused_feature	layer	original_feature	fold
mRNA__VCP	mRNA	VCP	1
mRNA__F3	mRNA	F3	1
mRNA__LSR	mRNA	LSR	1
mRNA__ITGA5	mRNA	ITGA5	1
mRNA__DSTN	mRNA	DSTN	1
mRNA__SSR4	mRNA	SSR4	1
mRNA__KIAA1324	mRNA	KIAA1324	1
mRNA__CTNND1	mRNA	CTNND1	1
mRNA__LGALS4	mRNA	LGALS4	1
mRNA__SUMF2	mRNA	SUMF2	1
mRNA__SLC7A8	mRNA	SLC7A8	1
mRNA__VSIG1	mRNA	VSIG1	1
mRNA__LAMA5	mRNA	LAMA5	1
mRNA__GANAB	mRNA	GANAB	1
mRNA__CTGF	mRNA	CTGF	1
mRNA__ABCC3	mRNA	ABCC3	1
mRNA__HAS3	mRNA	HAS3	1
mRNA__CXCR7	mRNA	CXCR7	1
mRNA__IDH2	mRNA	IDH2	1
mRNA__DPYSL3	mRNA	DPYSL3	1
mRNA__SPOCK2	mRNA	SPOCK2	1
mRNA__ECM1	mRNA	ECM1	1
mRNA__TSPAN8	mRNA	TSPAN8	1
mRNA__GTF3C1	mRNA	GTF3C1	1
mRNA__PTHLH	mRNA	PTHLH	1
mRNA__ECE1	mRNA	ECE1	1
mRNA__CD68	mRNA	CD68	1
mRNA__SH3BGRL3	mRNA	SH3BGRL3	1
mRNA__ATHL1	mRNA	ATHL1	1
mRNA__NFE2L1	mRNA	NFE2L1	1
mRNA__LAMC1	mRNA	LAMC1	1
mRNA__CA12	mRNA	CA12	1
mRNA__C1QA	mRNA	C1QA	1
mRNA__DYNC1H1	mRNA	DYNC1H1	1
mRNA__PTRF	mRNA	PTRF	1
mRNA__CYP24A1	mRNA	CYP24A1	1
mRNA__FLNB	mRNA	FLNB	1
mRNA__CD164	mRNA	CD164	1
mRNA__CSDE1	mRNA	CSDE1	1
mRNA__UGDH	mRNA	UGDH	1
mRNA__CSDA	mRNA	CSDA	1
mRNA__SPRR1A	mRNA	SPRR1A	1
mRNA__SPTBN1	mRNA	SPTBN1	1
mRNA__DUSP6	mRNA	DUSP6	1
mRNA__LCP1	mRNA	LCP1	1
mRNA__ITPR3	mRNA	ITPR3	1
mRNA__SERINC2	mRNA	SERINC2	1
mRNA__AHR	mRNA	AHR	1
mRNA__PLTP	mRNA	PLTP	1
mRNA__PRKDC	mRNA	PRKDC	1
mRNA__HIF1A	mRNA	HIF1A	1
mRNA__VWF	mRNA	VWF	1
mRNA__CLPTM1L	mRNA	CLPTM1L	1
mRNA__XAGE1D	mRNA	XAGE1D	1
mRNA__C1QC	mRNA	C1QC	1
mRNA__SLC3A2	mRNA	SLC3A2	1
mRNA__ANTXR1	mRNA	ANTXR1	1
mRNA__ST14	mRNA	ST14	1
mRNA__GSTM1	mRNA	GSTM1	1
mRNA__TBL1XR1	mRNA	TBL1XR1	1
mRNA__SEC61A1	mRNA	SEC61A1	1
mRNA__RPS13	mRNA	RPS13	1
mRNA__MAP1B	mRNA	MAP1B	1
mRNA__LASP1	mRNA	LASP1	1
mRNA__EMP2	mRNA	EMP2	1
mRNA__NR4A1	mRNA	NR4A1	1
mRNA__SELENBP1	mRNA	SELENBP1	1
mRNA__CAV1	mRNA	CAV1	1
mRNA__RAB11FIP1	mRNA	RAB11FIP1	1
mRNA__PRNP	mRNA	PRNP	1
mRNA__NNMT	mRNA	NNMT	1
mRNA__ADH1C	mRNA	ADH1C	1
mRNA__SHC1	mRNA	SHC1	1
mRNA__UCHL1	mRNA	UCHL1	1
mRNA__SERPINF1	mRNA	SERPINF1	1
mRNA__DNAJB1	mRNA	DNAJB1	1
mRNA__SLC40A1	mRNA	SLC40A1	1
mRNA__SIK1	mRNA	SIK1	1
mRNA__CTSL1	mRNA	CTSL1	1
mRNA__AGT	mRNA	AGT	1
mRNA__HK2	mRNA	HK2	1
mRNA__IGFBP7	mRNA	IGFBP7	1
mRNA__GNS	mRNA	GNS	1
mRNA__FAU	mRNA	FAU	1
mRNA__TPM3	mRNA	TPM3	1
mRNA__ACTN1	mRNA	ACTN1	1
mRNA__SYNGR2	mRNA	SYNGR2	1
mRNA__PCBP2	mRNA	PCBP2	1
mRNA__PSCA	mRNA	PSCA	1
mRNA__SPARCL1	mRNA	SPARCL1	1
mRNA__CST1	mRNA	CST1	1
mRNA__COL18A1	mRNA	COL18A1	1
mRNA__CTSS	mRNA	CTSS	1
mRNA__MYL12A	mRNA	MYL12A	1
mRNA__PFN2	mRNA	PFN2	1
mRNA__CPLX2	mRNA	CPLX2	1
mRNA__ALCAM	mRNA	ALCAM	1
mRNA__FOSB	mRNA	FOSB	1
mRNA__RPL34	mRNA	RPL34	1
mRNA__PYGB	mRNA	PYGB	1
mRNA__MUC13	mRNA	MUC13	1
mRNA__CXCL9	mRNA	CXCL9	1
mRNA__ATP5A1	mRNA	ATP5A1	1
mRNA__RPL14	mRNA	RPL14	1
mRNA__CTNNA1	mRNA	CTNNA1	1
mRNA__APOC1	mRNA	APOC1	1
mRNA__TLN1	mRNA	TLN1	1
mRNA__RPL6	mRNA	RPL6	1
mRNA__ASCL1	mRNA	ASCL1	1
mRNA__RPSA	mRNA	RPSA	1
mRNA__PXDN	mRNA	PXDN	1
mRNA__AKAP12	mRNA	AKAP12	1
mRNA__GSTM3	mRNA	GSTM3	1
mRNA__UGT1A6	mRNA	UGT1A6	1
mRNA__TNS1	mRNA	TNS1	1
mRNA__DVL3	mRNA	DVL3	1
mRNA__EIF2S3	mRNA	EIF2S3	1
mRNA__MALAT1	mRNA	MALAT1	1
mRNA__TUBA1A	mRNA	TUBA1A	1
mRNA__RHOA	mRNA	RHOA	1
mRNA__KIAA1199	mRNA	KIAA1199	1
mRNA__PLOD1	mRNA	PLOD1	1
mRNA__TMEM59	mRNA	TMEM59	1
mRNA__SLC2A3	mRNA	SLC2A3	1
mRNA__ANXA5	mRNA	ANXA5	1
mRNA__KDELR2	mRNA	KDELR2	1
mRNA__CALU	mRNA	CALU	1
mRNA__EMP1	mRNA	EMP1	1
mRNA__ITGB2	mRNA	ITGB2	1
mRNA__ARPC1B	mRNA	ARPC1B	1
mRNA__NUCKS1	mRNA	NUCKS1	1
mRNA__FAM83A	mRNA	FAM83A	1
mRNA__CTSA	mRNA	CTSA	1
mRNA__RPL38	mRNA	RPL38	1
mRNA__CNBP	mRNA	CNBP	1
mRNA__CYR61	mRNA	CYR61	1
mRNA__AGER	mRNA	AGER	1
mRNA__RPN1	mRNA	RPN1	1
mRNA__SOX4	mRNA	SOX4	1
mRNA__COX4I1	mRNA	COX4I1	1
mRNA__RPS25	mRNA	RPS25	1
mRNA__MAOA	mRNA	MAOA	1
mRNA__PRSS8	mRNA	PRSS8	1
mRNA__ASS1	mRNA	ASS1	1
mRNA__CYP4B1	mRNA	CYP4B1	1
mRNA__SPRR2D	mRNA	SPRR2D	1
mRNA__MGP	mRNA	MGP	1
mRNA__SERPINB5	mRNA	SERPINB5	1
mRNA__TACC2	mRNA	TACC2	1
mRNA__NOS2	mRNA	NOS2	1
mRNA__ITGB6	mRNA	ITGB6	1
mRNA__PAM	mRNA	PAM	1
mRNA__LAMP3	mRNA	LAMP3	1
mRNA__PPDPF	mRNA	PPDPF	1
mRNA__PTGR1	mRNA	PTGR1	1
mRNA__TMBIM1	mRNA	TMBIM1	1
mRNA__SLC9A3R1	mRNA	SLC9A3R1	1
mRNA__MARCKSL1	mRNA	MARCKSL1	1
mRNA__TNFRSF21	mRNA	TNFRSF21	1
mRNA__CAND1	mRNA	CAND1	1
mRNA__NPY	mRNA	NPY	1
mRNA__LAD1	mRNA	LAD1	1
mRNA__TESC	mRNA	TESC	1
mRNA__WNK1	mRNA	WNK1	1
mRNA__HYOU1	mRNA	HYOU1	1
mRNA__PRR4	mRNA	PRR4	1
mRNA__MLPH	mRNA	MLPH	1
mRNA__CYP1B1	mRNA	CYP1B1	1
mRNA__SLC38A2	mRNA	SLC38A2	1
mRNA__SLC1A5	mRNA	SLC1A5	1
mRNA__CLIC6	mRNA	CLIC6	1
mRNA__MYOF	mRNA	MYOF	1
mRNA__PPP1CB	mRNA	PPP1CB	1
mRNA__DCBLD2	mRNA	DCBLD2	1
mRNA__CDK6	mRNA	CDK6	1
mRNA__CALD1	mRNA	CALD1	1
mRNA__TFPI	mRNA	TFPI	1
mRNA__FBN1	mRNA	FBN1	1
mRNA__COL11A1	mRNA	COL11A1	1
mRNA__STOM	mRNA	STOM	1
mRNA__AHCYL2	mRNA	AHCYL2	1
mRNA__IFI16	mRNA	IFI16	1
mRNA__CAPN1	mRNA	CAPN1	1
mRNA__COX6B1	mRNA	COX6B1	1
mRNA__TMED2	mRNA	TMED2	1
mRNA__LAMB1	mRNA	LAMB1	1
mRNA__LGMN	mRNA	LGMN	1
mRNA__C14orf147	mRNA	C14orf147	1
mRNA__ITGAV	mRNA	ITGAV	1
mRNA__IQGAP1	mRNA	IQGAP1	1
mRNA__GPX1	mRNA	GPX1	1
mRNA__ERBB3	mRNA	ERBB3	1
mRNA__SPINT1	mRNA	SPINT1	1
mRNA__CAP1	mRNA	CAP1	1
mRNA__C2	mRNA	C2	1
mRNA__CIT	mRNA	CIT	1
mRNA__NUMA1	mRNA	NUMA1	1
mRNA__SLC12A7	mRNA	SLC12A7	1
mRNA__CREG1	mRNA	CREG1	1
mRNA__TMED10	mRNA	TMED10	1
mRNA__CCT3	mRNA	CCT3	1
mRNA__RPL17	mRNA	RPL17	1
mRNA__CYP4F11	mRNA	CYP4F11	1
mRNA__ARHGDIB	mRNA	ARHGDIB	1
mRNA__RIOK3	mRNA	RIOK3	1
mRNA__SLC16A3	mRNA	SLC16A3	1
mRNA__SEPW1	mRNA	SEPW1	1
mRNA__DDX5	mRNA	DDX5	1
mRNA__SEPT9	mRNA	SEPT9	1
mRNA__FKBP9	mRNA	FKBP9	1
mRNA__PFDN5	mRNA	PFDN5	1
mRNA__MLEC	mRNA	MLEC	1
mRNA__ACSL5	mRNA	ACSL5	1
mRNA__SSR2	mRNA	SSR2	1
mRNA__CHIT1	mRNA	CHIT1	1
mRNA__UBA1	mRNA	UBA1	1
mRNA__RCC2	mRNA	RCC2	1
mRNA__A2ML1	mRNA	A2ML1	1
mRNA__RNF145	mRNA	RNF145	1
mRNA__ATP2A3	mRNA	ATP2A3	1
mRNA__COPA	mRNA	COPA	1
mRNA__B3GNT7	mRNA	B3GNT7	1
mRNA__SULF2	mRNA	SULF2	1
mRNA__FKBP4	mRNA	FKBP4	1
mRNA__PRSS23	mRNA	PRSS23	1
mRNA__UBD	mRNA	UBD	1
mRNA__PTMS	mRNA	PTMS	1
mRNA__RAC1	mRNA	RAC1	1
mRNA__CCL19	mRNA	CCL19	1
mRNA__RAI14	mRNA	RAI14	1
mRNA__CGA	mRNA	CGA	1
mRNA__FBN2	mRNA	FBN2	1
mRNA__NFKBIA	mRNA	NFKBIA	1
mRNA__XRCC6	mRNA	XRCC6	1
mRNA__EEF1A1P9	mRNA	EEF1A1P9	1
mRNA__NUCB1	mRNA	NUCB1	1
mRNA__OLFM4	mRNA	OLFM4	1
mRNA__AQP5	mRNA	AQP5	1
mRNA__HMGCS1	mRNA	HMGCS1	1
mRNA__NORAD	mRNA	NORAD	1
mRNA__EGLN3	mRNA	EGLN3	1
mRNA__EFNA1	mRNA	EFNA1	1
mRNA__STAT3	mRNA	STAT3	1
mRNA__YWHAG	mRNA	YWHAG	1
mRNA__GPC3	mRNA	GPC3	1
mRNA__ETS2	mRNA	ETS2	1
mRNA__GNB1	mRNA	GNB1	1
mRNA__FBL	mRNA	FBL	1
mRNA__HNRNPUL1	mRNA	HNRNPUL1	1
mRNA__LYPD3	mRNA	LYPD3	1
mRNA__PGAM1	mRNA	PGAM1	1
mRNA__MX1	mRNA	MX1	1
mRNA__RBP1	mRNA	RBP1	1
mRNA__ERO1L	mRNA	ERO1L	1
mRNA__ALPL	mRNA	ALPL	1
mRNA__RHOC	mRNA	RHOC	1
mRNA__EFEMP1	mRNA	EFEMP1	1
mRNA__CALM1	mRNA	CALM1	1
mRNA__ERGIC1	mRNA	ERGIC1	1
mRNA__FAT2	mRNA	FAT2	1
mRNA__GM2A	mRNA	GM2A	1
mRNA__DSC2	mRNA	DSC2	1
mRNA__LASS2	mRNA	LASS2	1
mRNA__CCL21	mRNA	CCL21	1
mRNA__BAT2L1	mRNA	BAT2L1	1
mRNA__JUNB	mRNA	JUNB	1
mRNA__FCGBP	mRNA	FCGBP	1
mRNA__CREB3L1	mRNA	CREB3L1	1
mRNA__TOP2A	mRNA	TOP2A	1
mRNA__CEL	mRNA	CEL	1
mRNA__ATP2B4	mRNA	ATP2B4	1
mRNA__SC5DL	mRNA	SC5DL	1
mRNA__ISG15	mRNA	ISG15	1
mRNA__ADH7	mRNA	ADH7	1
mRNA__DAP	mRNA	DAP	1
mRNA__BAT2	mRNA	BAT2	1
mRNA__KRT4	mRNA	KRT4	1
mRNA__CGN	mRNA	CGN	1
mRNA__JUN	mRNA	JUN	1
mRNA__RAB7A	mRNA	RAB7A	1
mRNA__SNRNP200	mRNA	SNRNP200	1
mRNA__PPL	mRNA	PPL	1
mRNA__HUWE1	mRNA	HUWE1	1
mRNA__PRPF8	mRNA	PRPF8	1
mRNA__MAGED1	mRNA	MAGED1	1
mRNA__SORL1	mRNA	SORL1	1
mRNA__BTF3	mRNA	BTF3	1
mRNA__RAN	mRNA	RAN	1
mRNA__PRDX5	mRNA	PRDX5	1
mRNA__MACF1	mRNA	MACF1	1
mRNA__NONO	mRNA	NONO	1
mRNA__PALLD	mRNA	PALLD	1
mRNA__IDH1	mRNA	IDH1	1
mRNA__FXR1	mRNA	FXR1	1
mRNA__CLDN2	mRNA	CLDN2	1
mRNA__EIF3E	mRNA	EIF3E	1
mRNA__ADI1	mRNA	ADI1	1
mRNA__PTGFRN	mRNA	PTGFRN	1
mRNA__ACTR3	mRNA	ACTR3	1
mRNA__PLP2	mRNA	PLP2	1
mRNA__RHOBTB2	mRNA	RHOBTB2	1
mRNA__PLXNA1	mRNA	PLXNA1	1
mRNA__GPR56	mRNA	GPR56	1
mRNA__PPIA	mRNA	PPIA	1
mRNA__BTG1	mRNA	BTG1	1
mRNA__WASF2	mRNA	WASF2	1
mRNA__CTDSP2	mRNA	CTDSP2	1
mRNA__EEF1B2	mRNA	EEF1B2	1
mRNA__NBL1	mRNA	NBL1	1
mRNA__IDS	mRNA	IDS	1
mRNA__RARRES3	mRNA	RARRES3	1
mRNA__PBXIP1	mRNA	PBXIP1	1
mRNA__PLOD2	mRNA	PLOD2	1
mRNA__AKR1B1	mRNA	AKR1B1	1
mRNA__MGLL	mRNA	MGLL	1
mRNA__S100A7	mRNA	S100A7	1
mRNA__BZW1	mRNA	BZW1	1
mRNA__CCT4	mRNA	CCT4	1
mRNA__DLK1	mRNA	DLK1	1
mRNA__BCAP31	mRNA	BCAP31	1
mRNA__ATF4	mRNA	ATF4	1
mRNA__AHCY	mRNA	AHCY	1
mRNA__ANXA8	mRNA	ANXA8	1
mRNA__DDX17	mRNA	DDX17	1
mRNA__SREBF2	mRNA	SREBF2	1
mRNA__SOCS3	mRNA	SOCS3	1
mRNA__MPZL2	mRNA	MPZL2	1
mRNA__LGALS7	mRNA	LGALS7	1
mRNA__TYMP	mRNA	TYMP	1
mRNA__C20orf3	mRNA	C20orf3	1
mRNA__SEC11C	mRNA	SEC11C	1
mRNA__POLR2A	mRNA	POLR2A	1
mRNA__MLF2	mRNA	MLF2	1
mRNA__HNRNPC	mRNA	HNRNPC	1
mRNA__SFTA2	mRNA	SFTA2	1
mRNA__LTBP1	mRNA	LTBP1	1
mRNA__NAP1L1	mRNA	NAP1L1	1
mRNA__PTK7	mRNA	PTK7	1
mRNA__LRRK2	mRNA	LRRK2	1
mRNA__CCND2	mRNA	CCND2	1
mRNA__BPIL1	mRNA	BPIL1	1
mRNA__NID1	mRNA	NID1	1
mRNA__CDK4	mRNA	CDK4	1
mRNA__LPIN2	mRNA	LPIN2	1
mRNA__ARPC2	mRNA	ARPC2	1
mRNA__GPC4	mRNA	GPC4	1
mRNA__CAPG	mRNA	CAPG	1
mRNA__PSMB4	mRNA	PSMB4	1
mRNA__NEDD9	mRNA	NEDD9	1
mRNA__C1orf43	mRNA	C1orf43	1
mRNA__HSPA1B	mRNA	HSPA1B	1
mRNA__EIF4B	mRNA	EIF4B	1
mRNA__YEATS2	mRNA	YEATS2	1
mRNA__EIF3L	mRNA	EIF3L	1
mRNA__SET	mRNA	SET	1
mRNA__ACTR2	mRNA	ACTR2	1
mRNA__TSC22D1	mRNA	TSC22D1	1
mRNA__COL2A1	mRNA	COL2A1	1
mRNA__MDM2	mRNA	MDM2	1
mRNA__AES	mRNA	AES	1
mRNA__DPP4	mRNA	DPP4	1
mRNA__CYP2S1	mRNA	CYP2S1	1
mRNA__HNRNPU	mRNA	HNRNPU	1
mRNA__SCNN1B	mRNA	SCNN1B	1
mRNA__HMGN2	mRNA	HMGN2	1
mRNA__PROM2	mRNA	PROM2	1
mRNA__GSTM2	mRNA	GSTM2	1
mRNA__SEPT2	mRNA	SEPT2	1
mRNA__IL32	mRNA	IL32	1
mRNA__SRGN	mRNA	SRGN	1
mRNA__RPS15	mRNA	RPS15	1
mRNA__ATP5E	mRNA	ATP5E	1
mRNA__PRKAR1A	mRNA	PRKAR1A	1
mRNA__TNS4	mRNA	TNS4	1
mRNA__RPS4Y1	mRNA	RPS4Y1	1
mRNA__SNRPB	mRNA	SNRPB	1
mRNA__FKBP10	mRNA	FKBP10	1
mRNA__LRP10	mRNA	LRP10	1
mRNA__DRAM1	mRNA	DRAM1	1
mRNA__TGOLN2	mRNA	TGOLN2	1
mRNA__RAD21	mRNA	RAD21	1
mRNA__CCDC80	mRNA	CCDC80	1
mRNA__SERPINB13	mRNA	SERPINB13	1
mRNA__PTGES3	mRNA	PTGES3	1
mRNA__ASH2L	mRNA	ASH2L	1
mRNA__DHCR7	mRNA	DHCR7	1
mRNA__VAMP8	mRNA	VAMP8	1
mRNA__IKBKB	mRNA	IKBKB	1
mRNA__DHRS2	mRNA	DHRS2	1
mRNA__ACADVL	mRNA	ACADVL	1
mRNA__MYL9	mRNA	MYL9	1
mRNA__SURF4	mRNA	SURF4	1
mRNA__CELSR1	mRNA	CELSR1	1
mRNA__RASD1	mRNA	RASD1	1
mRNA__DDOST	mRNA	DDOST	1
mRNA__ARRDC3	mRNA	ARRDC3	1
mRNA__PHLDA1	mRNA	PHLDA1	1
mRNA__CA2	mRNA	CA2	1
mRNA__PFKP	mRNA	PFKP	1
mRNA__GNAI2	mRNA	GNAI2	1
mRNA__GALNT2	mRNA	GALNT2	1
mRNA__EIF3B	mRNA	EIF3B	1
mRNA__NET1	mRNA	NET1	1
mRNA__PLXND1	mRNA	PLXND1	1
mRNA__PRODH	mRNA	PRODH	1
mRNA__SEC61G	mRNA	SEC61G	1
mRNA__FGFR3	mRNA	FGFR3	1
mRNA__SST	mRNA	SST	1
mRNA__CNN2	mRNA	CNN2	1
mRNA__SERP1	mRNA	SERP1	1
mRNA__HK1	mRNA	HK1	1
mRNA__LAMP2	mRNA	LAMP2	1
mRNA__TMEM30A	mRNA	TMEM30A	1
mRNA__UCP2	mRNA	UCP2	1
mRNA__KIT	mRNA	KIT	1
mRNA__ADAM15	mRNA	ADAM15	1
mRNA__ZNF117	mRNA	ZNF117	1
mRNA__MKNK2	mRNA	MKNK2	1
mRNA__PMEPA1	mRNA	PMEPA1	1
mRNA__OSMR	mRNA	OSMR	1
mRNA__FMOD	mRNA	FMOD	1
mRNA__TMC5	mRNA	TMC5	1
mRNA__CKB	mRNA	CKB	1
mRNA__ZDHHC9	mRNA	ZDHHC9	1
mRNA__H2AFZ	mRNA	H2AFZ	1
mRNA__SFTA3	mRNA	SFTA3	1
mRNA__PRKCSH	mRNA	PRKCSH	1
mRNA__ST6GAL1	mRNA	ST6GAL1	1
mRNA__ERP29	mRNA	ERP29	1
mRNA__ITGA2	mRNA	ITGA2	1
mRNA__PSMA6	mRNA	PSMA6	1
mRNA__ILF2	mRNA	ILF2	1
mRNA__BST2	mRNA	BST2	1
mRNA__XPR1	mRNA	XPR1	1
mRNA__SEL1L3	mRNA	SEL1L3	1
mRNA__BASP1	mRNA	BASP1	1
mRNA__SSR3	mRNA	SSR3	1
mRNA__ILF3	mRNA	ILF3	1
mRNA__APH1A	mRNA	APH1A	1
mRNA__SERPINB1	mRNA	SERPINB1	1
mRNA__SLC44A4	mRNA	SLC44A4	1
mRNA__THBS4	mRNA	THBS4	1
mRNA__SERPINE2	mRNA	SERPINE2	1
mRNA__TNKS1BP1	mRNA	TNKS1BP1	1
mRNA__CYB5A	mRNA	CYB5A	1
mRNA__EIF4EBP1	mRNA	EIF4EBP1	1
mRNA__PRDX6	mRNA	PRDX6	1
mRNA__GAA	mRNA	GAA	1
mRNA__KIAA1522	mRNA	KIAA1522	1
mRNA__ARL6IP1	mRNA	ARL6IP1	1
mRNA__TACC1	mRNA	TACC1	1
mRNA__HLA-DMA	mRNA	HLA-DMA	1
mRNA__LTBP4	mRNA	LTBP4	1
mRNA__CYBRD1	mRNA	CYBRD1	1
mRNA__NCAPD2	mRNA	NCAPD2	1
mRNA__ARHGDIA	mRNA	ARHGDIA	1
mRNA__KIF1A	mRNA	KIF1A	1
mRNA__GJB6	mRNA	GJB6	1
mRNA__CSPG4	mRNA	CSPG4	1
mRNA__NRP1	mRNA	NRP1	1
mRNA__SLC7A11	mRNA	SLC7A11	1
mRNA__FKBP5	mRNA	FKBP5	1
mRNA__NCOR2	mRNA	NCOR2	1
mRNA__PON2	mRNA	PON2	1
mRNA__SLC6A14	mRNA	SLC6A14	1
mRNA__ENSA	mRNA	ENSA	1
mRNA__SCARB2	mRNA	SCARB2	1
mRNA__CD47	mRNA	CD47	1
mRNA__AQP4	mRNA	AQP4	1
mRNA__FAM107B	mRNA	FAM107B	1
mRNA__KRT10	mRNA	KRT10	1
mRNA__OAT	mRNA	OAT	1
mRNA__LAPTM4A	mRNA	LAPTM4A	1
mRNA__NKX2-1	mRNA	NKX2-1	1
mRNA__COPB1	mRNA	COPB1	1
mRNA__TTYH3	mRNA	TTYH3	1
mRNA__VWA1	mRNA	VWA1	1
mRNA__SEC62	mRNA	SEC62	1
mRNA__ECH1	mRNA	ECH1	1
mRNA__ABLIM1	mRNA	ABLIM1	1
mRNA__AP2B1	mRNA	AP2B1	1
mRNA__HSPA6	mRNA	HSPA6	1
mRNA__IL8	mRNA	IL8	1
mRNA__PARP1	mRNA	PARP1	1
mRNA__GREM1	mRNA	GREM1	1
mRNA__TGFBR2	mRNA	TGFBR2	1
mRNA__CDC42	mRNA	CDC42	1
mRNA__MICAL2	mRNA	MICAL2	1
mRNA__MTUS1	mRNA	MTUS1	1
mRNA__GBAS	mRNA	GBAS	1
mRNA__TUBB3	mRNA	TUBB3	1
mRNA__F13A1	mRNA	F13A1	1
mRNA__MCM7	mRNA	MCM7	1
mRNA__THY1	mRNA	THY1	1
mRNA__AIM1	mRNA	AIM1	1
mRNA__ERGIC3	mRNA	ERGIC3	1
mRNA__SFRP4	mRNA	SFRP4	1
mRNA__CAST	mRNA	CAST	1
mRNA__LMO3	mRNA	LMO3	1
mRNA__HNRNPK	mRNA	HNRNPK	1
mRNA__CKAP4	mRNA	CKAP4	1
mRNA__MAFK	mRNA	MAFK	1
mRNA__ATP5G3	mRNA	ATP5G3	1
mRNA__SECISBP2L	mRNA	SECISBP2L	1
mRNA__SSFA2	mRNA	SSFA2	1
mRNA__LENG8	mRNA	LENG8	1
mRNA__NDUFB9	mRNA	NDUFB9	1
mRNA__ITGB5	mRNA	ITGB5	1
mRNA__HLA-H	mRNA	HLA-H	1
mRNA__FCGR3A	mRNA	FCGR3A	1
mRNA__ATF5	mRNA	ATF5	1
mRNA__H3F3A	mRNA	H3F3A	1
mRNA__PTDSS1	mRNA	PTDSS1	1
mRNA__IGF2R	mRNA	IGF2R	1
mRNA__NPTX1	mRNA	NPTX1	1
mRNA__NOTCH2	mRNA	NOTCH2	1
mRNA__CX3CL1	mRNA	CX3CL1	1
mRNA__TMEM176B	mRNA	TMEM176B	1
mRNA__CFH	mRNA	CFH	1
mRNA__RBM3	mRNA	RBM3	1
mRNA__CLIC4	mRNA	CLIC4	1
mRNA__FADS2	mRNA	FADS2	1
mRNA__RARRES1	mRNA	RARRES1	1
mRNA__PGAP3	mRNA	PGAP3	1
mRNA__BAT2L2	mRNA	BAT2L2	1
mRNA__USP22	mRNA	USP22	1
mRNA__TOMM20	mRNA	TOMM20	1
mRNA__LIPA	mRNA	LIPA	1
mRNA__NOMO1	mRNA	NOMO1	1
mRNA__ZFP36L2	mRNA	ZFP36L2	1
mRNA__TPP1	mRNA	TPP1	1
mRNA__FABP5	mRNA	FABP5	1
mRNA__LTA4H	mRNA	LTA4H	1
mRNA__BTG2	mRNA	BTG2	1
mRNA__AKAP13	mRNA	AKAP13	1
mRNA__PCBP1	mRNA	PCBP1	1
mRNA__TPM1	mRNA	TPM1	1
mRNA__VAT1	mRNA	VAT1	1
mRNA__XRCC5	mRNA	XRCC5	1
mRNA__COTL1	mRNA	COTL1	1
mRNA__ALDH3B1	mRNA	ALDH3B1	1
mRNA__ESYT2	mRNA	ESYT2	1
mRNA__ARPC1A	mRNA	ARPC1A	1
mRNA__PPT1	mRNA	PPT1	1
mRNA__ARF3	mRNA	ARF3	1
mRNA__MYC	mRNA	MYC	1
mRNA__SYPL1	mRNA	SYPL1	1
mRNA__SERPINB4	mRNA	SERPINB4	1
mRNA__KRAS	mRNA	KRAS	1
mRNA__PTPRZ1	mRNA	PTPRZ1	1
mRNA__MAGEA4	mRNA	MAGEA4	1
mRNA__NDUFA10	mRNA	NDUFA10	1
mRNA__NOS3	mRNA	NOS3	1
mRNA__C10orf10	mRNA	C10orf10	1
mRNA__LTBR	mRNA	LTBR	1
mRNA__CSRP1	mRNA	CSRP1	1
mRNA__KTN1	mRNA	KTN1	1
mRNA__CYBA	mRNA	CYBA	1
mRNA__ARF4	mRNA	ARF4	1
mRNA__SDCBP	mRNA	SDCBP	1
mRNA__LRRC8A	mRNA	LRRC8A	1
mRNA__CHP	mRNA	CHP	1
mRNA__NCOA7	mRNA	NCOA7	1
mRNA__CD163	mRNA	CD163	1
mRNA__PFKFB3	mRNA	PFKFB3	1
mRNA__FGFBP1	mRNA	FGFBP1	1
mRNA__TRIM16	mRNA	TRIM16	1
mRNA__PTGDS	mRNA	PTGDS	1
mRNA__COL4A5	mRNA	COL4A5	1
mRNA__CNN3	mRNA	CNN3	1
mRNA__SLC38A1	mRNA	SLC38A1	1
mRNA__WDR1	mRNA	WDR1	1
mRNA__PHB2	mRNA	PHB2	1
mRNA__OAS3	mRNA	OAS3	1
mRNA__XPO6	mRNA	XPO6	1
mRNA__NUP210	mRNA	NUP210	1
mRNA__MLLT6	mRNA	MLLT6	1
mRNA__ANXA11	mRNA	ANXA11	1
mRNA__DUOX2	mRNA	DUOX2	1
mRNA__PEBP1	mRNA	PEBP1	1
mRNA__CDC42EP4	mRNA	CDC42EP4	1
mRNA__WNT5A	mRNA	WNT5A	1
mRNA__WHSC1L1	mRNA	WHSC1L1	1
mRNA__FGFR1	mRNA	FGFR1	1
mRNA__SERBP1	mRNA	SERBP1	1
mRNA__RGS1	mRNA	RGS1	1
mRNA__CHD4	mRNA	CHD4	1
mRNA__PDGFRB	mRNA	PDGFRB	1
mRNA__SNRPD2	mRNA	SNRPD2	1
mRNA__ZFAND5	mRNA	ZFAND5	1
mRNA__HNRNPA3	mRNA	HNRNPA3	1
mRNA__SREBF1	mRNA	SREBF1	1
mRNA__GLT25D1	mRNA	GLT25D1	1
mRNA__TMEM66	mRNA	TMEM66	1
mRNA__TM9SF3	mRNA	TM9SF3	1
