sample_id	layer	sample_mean	sample_sd	sample_missing_percent	subtype
TCGA-97-7938-01	mRNA	2997.1722001	6812.916193935077	0	LUAD
TCGA-97-7941-01	mRNA	2879.02721304	5570.711722316359	0	LUAD
TCGA-97-8179-01	mRNA	2795.66035362	8353.701509840294	0	LUAD
TCGA-97-A4M0-01	mRNA	3038.41186282	13707.244276334424	0	LUAD
TCGA-97-A4M2-01	mRNA	2887.4185914	8929.095727337177	0	LUAD
TCGA-97-A4M5-01	mRNA	2924.18936528	5900.056206641024	0	LUAD
TCGA-97-A4M6-01	mRNA	2703.30434774	5656.368274015837	0	LUAD
TCGA-97-A4M7-01	mRNA	3032.69742906	9500.29997407236	0	LUAD
TCGA-99-7458-01	mRNA	3072.6425785	7137.628149893862	0	LUAD
TCGA-99-8028-01	mRNA	3598.10979498	14311.529299570637	0	LUAD
TCGA-J2-8192-01	mRNA	3043.1244917599997	7993.490848836222	0	LUAD
TCGA-J2-8194-01	mRNA	3051.65904454	8064.84465718578	0	LUAD
TCGA-J2-A4AD-01	mRNA	2766.38935384	5284.621484628278	0	LUAD
TCGA-J2-A4AG-01	mRNA	2839.27505586	6253.337376754421	0	LUAD
TCGA-L4-A4E5-01	mRNA	2659.6972521000002	4620.369032301011	0	LUAD
TCGA-L4-A4E6-01	mRNA	3445.55192512	15595.444827700247	0	LUAD
TCGA-L9-A443-01	mRNA	3085.69793106	6919.364614952937	0	LUAD
TCGA-L9-A444-01	mRNA	2947.12006618	9408.924209972805	0	LUAD
TCGA-L9-A50W-01	mRNA	3014.37339226	6819.4309880055625	0	LUAD
TCGA-L9-A5IP-01	mRNA	3439.16075086	7489.185783878892	0	LUAD
TCGA-L9-A743-01	mRNA	3106.9148088800002	8013.851523651848	0	LUAD
TCGA-L9-A7SV-01	mRNA	2609.29826828	4639.270719815268	0	LUAD
TCGA-L9-A8F4-01	mRNA	2990.95183568	8602.02844318961	0	LUAD
TCGA-MN-A4N1-01	mRNA	2793.09609744	5388.919243992822	0	LUAD
TCGA-MN-A4N4-01	mRNA	2993.2618479000002	7208.640076807722	0	LUAD
TCGA-MP-A4SV-01	mRNA	2672.85298814	5119.678481944513	0	LUAD
TCGA-MP-A4SW-01	mRNA	3131.56457258	10611.367888499792	0	LUAD
TCGA-MP-A4SY-01	mRNA	3112.93640814	7163.807306275368	0	LUAD
TCGA-MP-A4T4-01	mRNA	3012.39776858	9533.955858897989	0	LUAD
TCGA-MP-A4T6-01	mRNA	2647.5965344	5201.596339634794	0	LUAD
TCGA-MP-A4T7-01	mRNA	3129.16307278	7537.398260618303	0	LUAD
TCGA-MP-A4T8-01	mRNA	2865.76575838	5768.252271161981	0	LUAD
TCGA-MP-A4T9-01	mRNA	2763.90404994	6154.415894433365	0	LUAD
TCGA-MP-A4TA-01	mRNA	2799.83110922	6820.834156646162	0	LUAD
TCGA-MP-A4TC-01	mRNA	3156.37223636	8662.145954628051	0	LUAD
TCGA-MP-A4TD-01	mRNA	3026.78295638	10595.130327603485	0	LUAD
TCGA-MP-A4TE-01	mRNA	3351.32264328	12990.100810619091	0	LUAD
TCGA-MP-A4TF-01	mRNA	2776.6962632	5723.525328026508	0	LUAD
TCGA-MP-A4TH-01	mRNA	3276.43858646	19173.123237888605	0	LUAD
TCGA-MP-A4TI-01	mRNA	3107.07489544	8154.338983734579	0	LUAD
TCGA-MP-A4TJ-01	mRNA	2960.53406962	9197.802529430868	0	LUAD
TCGA-MP-A4TK-01	mRNA	3243.7222088	10065.141455344587	0	LUAD
TCGA-MP-A5C7-01	mRNA	2838.40085302	15640.965222605371	0	LUAD
TCGA-NJ-A4YF-01	mRNA	2738.94018478	5581.358392326489	0	LUAD
TCGA-NJ-A4YG-01	mRNA	3416.81059638	12415.271616481588	0	LUAD
TCGA-NJ-A4YI-01	mRNA	2866.17473842	7844.988060220017	0	LUAD
TCGA-NJ-A55A-01	mRNA	2498.31606698	5164.931419147035	0	LUAD
TCGA-NJ-A55O-01	mRNA	3129.56405858	10435.991787416197	0	LUAD
TCGA-NJ-A55R-01	mRNA	2883.0985069	6632.055309140812	0	LUAD
TCGA-NJ-A7XG-01	mRNA	3354.41150922	17984.184604958446	0	LUAD
TCGA-O1-A52J-01	mRNA	3213.00065438	12835.34415551454	0	LUAD
TCGA-S2-AA1A-01	mRNA	3236.95467976	14130.101499947263	0	LUAD
