layer	component	feature	loading	abs_loading	selected	fold	model_label	integration
RPPA	1	FOXM1|FoxM1	0.20154280432115154	0.20154280432115154	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	EIF4EBP1|4E-BP1	0.1996636292318161	0.1996636292318161	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	INPP4B|INPP4B	-0.19776879117549412	0.19776879117549412	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	GSK3A GSK3B|GSK3-alpha-beta	0.18972967120683806	0.18972967120683806	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	GAB2|GAB2	-0.18872437179889973	0.18872437179889973	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	PRKCB|PKC-pan_BetaII_pS660	-0.18734124938481503	0.18734124938481503	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	NOTCH1|Notch1	0.15518743936734103	0.15518743936734103	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	ERRFI1|MIG-6	-0.1512836590687168	0.1512836590687168	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	ITGA2|CD49b	0.13437965347628048	0.13437965347628048	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	GAPDH|GAPDH	0.1237323677540832	0.1237323677540832	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	CCNB1|Cyclin_B1	0.12191898115222559	0.12191898115222559	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	DVL3|Dvl3	0.11971190960033895	0.11971190960033895	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	ASNS|ASNS	0.11805131074587102	0.11805131074587102	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	CHEK2|Chk2	0.10513168344909125	0.10513168344909125	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	BCL2L1|Bcl-xL	-0.1037882081073155	0.1037882081073155	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	MSH6|MSH6	0.1031753307576586	0.1031753307576586	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	STAT3|STAT3_pY705	-0.10165082913324247	0.10165082913324247	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	KIT|c-Kit	-0.10083886214136391	0.10083886214136391	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	PCNA|PCNA	0.09968486146402415	0.09968486146402415	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	PRKCA |PKC-alpha_pS657	-0.09678632351592359	0.09678632351592359	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	SERPINE1|PAI-1	0.09022784668892889	0.09022784668892889	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	MTOR|mTOR_pS2448	-0.08783720693455697	0.08783720693455697	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	AKT1 AKT2 AKT3|Akt_pT308	0.08030673704956845	0.08030673704956845	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	MSH2|MSH2	0.06463439769699951	0.06463439769699951	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	CLDN7|Claudin-7	-0.06307602644397427	0.06307602644397427	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	TGM2|Transglutaminase	-0.05426203148372143	0.05426203148372143	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	TP53|p53	0.04910722788718267	0.04910722788718267	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	PRKCA |PKC-alpha	-0.04401465058697377	0.04401465058697377	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	TUBA1B|Acetyl-a-Tubulin-Lys40	-0.03896415432934718	0.03896415432934718	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	TSC2|Tuberin_pT1462	-0.034084369232824055	0.034084369232824055	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
RPPA	1	RPS6|S6_pS235_S236	-0.032157124293560026	0.032157124293560026	TRUE	1	DIABLO multiblock sPLS-DA	DIABLO
