model_label	FPR	TPR
Early fusion + Elastic Net	0.3892405063291139	1
Early fusion + Elastic Net	0.3924050632911392	1
Early fusion + Elastic Net	0.39556962025316456	1
Early fusion + Elastic Net	0.3987341772151899	1
Early fusion + Elastic Net	0.4018987341772152	1
Early fusion + Elastic Net	0.40506329113924056	1
Early fusion + Elastic Net	0.4082278481012658	1
Early fusion + Elastic Net	0.4113924050632911	1
Early fusion + Elastic Net	0.41455696202531644	1
Early fusion + Elastic Net	0.4177215189873418	1
Early fusion + Elastic Net	0.4208860759493671	1
Early fusion + Elastic Net	0.42405063291139244	1
Early fusion + Elastic Net	0.42721518987341767	1
Early fusion + Elastic Net	0.430379746835443	1
Early fusion + Elastic Net	0.43354430379746833	1
Early fusion + Elastic Net	0.43670886075949367	1
Early fusion + Elastic Net	0.439873417721519	1
Early fusion + Elastic Net	0.44303797468354433	1
Early fusion + Elastic Net	0.44620253164556967	1
Early fusion + Elastic Net	0.4493670886075949	1
Early fusion + Elastic Net	0.4525316455696202	1
Early fusion + Elastic Net	0.45569620253164556	1
Early fusion + Elastic Net	0.4588607594936709	1
Early fusion + Elastic Net	0.4620253164556962	1
Early fusion + Elastic Net	0.46518987341772156	1
Early fusion + Elastic Net	0.4683544303797469	1
Early fusion + Elastic Net	0.4715189873417721	1
Early fusion + Elastic Net	0.47468354430379744	1
Early fusion + Elastic Net	0.4778481012658228	1
Early fusion + Elastic Net	0.4810126582278481	1
Early fusion + Elastic Net	0.48417721518987344	1
Early fusion + Elastic Net	0.4873417721518988	1
Early fusion + Elastic Net	0.490506329113924	1
Early fusion + Elastic Net	0.49367088607594933	1
Early fusion + Elastic Net	0.49683544303797467	1
Early fusion + Elastic Net	0.5	1
Early fusion + Elastic Net	0.5031645569620253	1
Early fusion + Elastic Net	0.5063291139240507	1
Early fusion + Elastic Net	0.509493670886076	1
Early fusion + Elastic Net	0.5126582278481013	1
Early fusion + Elastic Net	0.5158227848101266	1
Early fusion + Elastic Net	0.5189873417721519	1
Early fusion + Elastic Net	0.5221518987341772	1
Early fusion + Elastic Net	0.5253164556962026	1
Early fusion + Elastic Net	0.5284810126582278	1
Early fusion + Elastic Net	0.5316455696202531	1
Early fusion + Elastic Net	0.5348101265822784	1
Early fusion + Elastic Net	0.5379746835443038	1
Early fusion + Elastic Net	0.5411392405063291	1
Early fusion + Elastic Net	0.5443037974683544	1
Early fusion + Elastic Net	0.5474683544303798	1
Early fusion + Elastic Net	0.5506329113924051	1
Early fusion + Elastic Net	0.5537974683544304	1
Early fusion + Elastic Net	0.5569620253164558	1
Early fusion + Elastic Net	0.560126582278481	1
Early fusion + Elastic Net	0.5632911392405063	1
Early fusion + Elastic Net	0.5664556962025317	1
Early fusion + Elastic Net	0.5696202531645569	1
Early fusion + Elastic Net	0.5727848101265822	1
Early fusion + Elastic Net	0.5759493670886076	1
Early fusion + Elastic Net	0.5791139240506329	1
Early fusion + Elastic Net	0.5822784810126582	1
Early fusion + Elastic Net	0.5854430379746836	1
Early fusion + Elastic Net	0.5886075949367089	1
Early fusion + Elastic Net	0.5917721518987342	1
Early fusion + Elastic Net	0.5949367088607596	1
Early fusion + Elastic Net	0.5981012658227849	1
