layer	model	FPR	TPR
mRNA	Elastic Net	0.4683544303797469	1
mRNA	Elastic Net	0.4715189873417721	1
mRNA	Elastic Net	0.47468354430379744	1
mRNA	Elastic Net	0.4778481012658228	1
mRNA	Elastic Net	0.4810126582278481	1
mRNA	Elastic Net	0.48417721518987344	1
mRNA	Elastic Net	0.4873417721518988	1
mRNA	Elastic Net	0.490506329113924	1
mRNA	Elastic Net	0.49367088607594933	1
mRNA	Elastic Net	0.49683544303797467	1
mRNA	Elastic Net	0.5	1
mRNA	Elastic Net	0.5031645569620253	1
mRNA	Elastic Net	0.5063291139240507	1
mRNA	Elastic Net	0.509493670886076	1
mRNA	Elastic Net	0.5126582278481013	1
mRNA	Elastic Net	0.5158227848101266	1
mRNA	Elastic Net	0.5189873417721519	1
mRNA	Elastic Net	0.5221518987341772	1
mRNA	Elastic Net	0.5253164556962026	1
mRNA	Elastic Net	0.5284810126582278	1
mRNA	Elastic Net	0.5316455696202531	1
mRNA	Elastic Net	0.5348101265822784	1
mRNA	Elastic Net	0.5379746835443038	1
mRNA	Elastic Net	0.5411392405063291	1
mRNA	Elastic Net	0.5443037974683544	1
mRNA	Elastic Net	0.5474683544303798	1
mRNA	Elastic Net	0.5506329113924051	1
mRNA	Elastic Net	0.5537974683544304	1
mRNA	Elastic Net	0.5569620253164558	1
mRNA	Elastic Net	0.560126582278481	1
mRNA	Elastic Net	0.5632911392405063	1
mRNA	Elastic Net	0.5664556962025317	1
mRNA	Elastic Net	0.5696202531645569	1
mRNA	Elastic Net	0.5727848101265822	1
mRNA	Elastic Net	0.5759493670886076	1
mRNA	Elastic Net	0.5791139240506329	1
mRNA	Elastic Net	0.5822784810126582	1
mRNA	Elastic Net	0.5854430379746836	1
mRNA	Elastic Net	0.5886075949367089	1
mRNA	Elastic Net	0.5917721518987342	1
mRNA	Elastic Net	0.5949367088607596	1
mRNA	Elastic Net	0.5981012658227849	1
mRNA	Elastic Net	0.6012658227848101	1
mRNA	Elastic Net	0.6044303797468354	1
mRNA	Elastic Net	0.6075949367088608	1
mRNA	Elastic Net	0.610759493670886	1
mRNA	Elastic Net	0.6139240506329113	1
mRNA	Elastic Net	0.6170886075949367	1
mRNA	Elastic Net	0.620253164556962	1
mRNA	Elastic Net	0.6234177215189873	1
mRNA	Elastic Net	0.6265822784810127	1
mRNA	Elastic Net	0.629746835443038	1
mRNA	Elastic Net	0.6329113924050633	1
mRNA	Elastic Net	0.6360759493670887	1
mRNA	Elastic Net	0.639240506329114	1
mRNA	Elastic Net	0.6424050632911392	1
mRNA	Elastic Net	0.6455696202531646	1
mRNA	Elastic Net	0.6487341772151899	1
mRNA	Elastic Net	0.6518987341772151	1
mRNA	Elastic Net	0.6550632911392404	1
mRNA	Elastic Net	0.6582278481012658	1
mRNA	Elastic Net	0.6613924050632911	1
mRNA	Elastic Net	0.6645569620253164	1
mRNA	Elastic Net	0.6677215189873418	1
mRNA	Elastic Net	0.6708860759493671	1
mRNA	Elastic Net	0.6740506329113924	1
mRNA	Elastic Net	0.6772151898734178	1
mRNA	Elastic Net	0.6803797468354431	1
mRNA	Elastic Net	0.6835443037974683	1
mRNA	Elastic Net	0.6867088607594937	1
mRNA	Elastic Net	0.689873417721519	1
mRNA	Elastic Net	0.6930379746835442	1
mRNA	Elastic Net	0.6962025316455696	1
mRNA	Elastic Net	0.6993670886075949	1
mRNA	Elastic Net	0.7025316455696202	1
mRNA	Elastic Net	0.7056962025316456	1
mRNA	Elastic Net	0.7088607594936709	1
mRNA	Elastic Net	0.7120253164556962	1
mRNA	Elastic Net	0.7151898734177216	1
mRNA	Elastic Net	0.7183544303797469	1
mRNA	Elastic Net	0.7215189873417722	1
mRNA	Elastic Net	0.7246835443037974	1
