layer	value
mRNA	0
mRNA	1449.86
mRNA	39.4897
mRNA	980.072
mRNA	64.1026
mRNA	896.858
mRNA	20.2247
mRNA	0
mRNA	17.6991
mRNA	25.0896
mRNA	706.351
mRNA	859.499
mRNA	80.285
mRNA	2.5124
mRNA	62.6058
mRNA	531.153
mRNA	2118.21
mRNA	527.054
mRNA	1185.19
mRNA	0
mRNA	745.353
mRNA	2024.25
mRNA	512.901
mRNA	562.921
mRNA	1271.88
mRNA	629.93
mRNA	1256.12
mRNA	1701.49
mRNA	0
mRNA	95.573
mRNA	17.66
mRNA	431.38
mRNA	890.013
mRNA	1024.62
mRNA	0
mRNA	0
mRNA	793.722
mRNA	3.7063
mRNA	2373.26
mRNA	1315.86
mRNA	133.095
mRNA	1120.98
mRNA	0
mRNA	174.915
mRNA	987
mRNA	6303.82
mRNA	102.29
mRNA	1.9293
mRNA	5.4829
mRNA	166.052
mRNA	78.1702
mRNA	95.797
mRNA	193.661
mRNA	630.828
mRNA	1.5448
mRNA	6.4541
mRNA	149.054
mRNA	5.8062
mRNA	59.3472
mRNA	531.697
mRNA	420.048
mRNA	0
mRNA	0
mRNA	32.2663
mRNA	0
mRNA	0.5186
mRNA	2675.78
mRNA	211.907
mRNA	153.03
mRNA	122.613
mRNA	240.423
mRNA	1744.25
mRNA	11.6344
mRNA	0
mRNA	0.4018
mRNA	1561.53
mRNA	0
mRNA	0.9088
mRNA	13.5135
mRNA	1.7135
mRNA	0
mRNA	788.894
mRNA	4150.65
mRNA	1403.96
mRNA	0
mRNA	1281.17
mRNA	1.7857
mRNA	485.485
mRNA	125.651
mRNA	1478.12
mRNA	0
mRNA	71.0355
mRNA	248.447
mRNA	163.905
mRNA	880.562
mRNA	9183.41
mRNA	6739.78
mRNA	741.063
mRNA	1635.12
mRNA	0
mRNA	45.9874
mRNA	8102.8
mRNA	841.962
mRNA	1334.33
mRNA	0.3495
mRNA	191.527
mRNA	0
mRNA	64.1086
mRNA	6.1658
mRNA	0
mRNA	594.493
mRNA	116.547
mRNA	75.2212
mRNA	1558.75
mRNA	1778.05
mRNA	315.385
mRNA	23198.8
mRNA	13.2042
mRNA	0
mRNA	111.338
mRNA	6335.81
mRNA	238.851
mRNA	1246.48
mRNA	0.9853
mRNA	0
mRNA	0
mRNA	1048.99
mRNA	4311.31
mRNA	1.7143
mRNA	0.3104
mRNA	0
mRNA	801.76
mRNA	258.896
mRNA	316.907
mRNA	36.108
mRNA	0.4738
mRNA	0.3357
mRNA	1333.63
mRNA	2245.04
mRNA	205.851
mRNA	110.336
mRNA	0
mRNA	43.3546
mRNA	465.237
mRNA	158.209
mRNA	2477.07
mRNA	14.3168
mRNA	0.5714
mRNA	187.834
mRNA	5559.67
mRNA	1639.17
mRNA	0
mRNA	216.854
mRNA	160
mRNA	0
mRNA	4188.23
mRNA	45.4915
mRNA	7.8603
mRNA	0
mRNA	0
mRNA	963.023
mRNA	1561.86
mRNA	12.2011
mRNA	776.665
mRNA	181.382
mRNA	1583.84
mRNA	5663.13
mRNA	445.756
mRNA	0
mRNA	0
mRNA	124.423
mRNA	3.5842
mRNA	70.1827
mRNA	20.7349
mRNA	52.8771
mRNA	1821.14
mRNA	749.669
mRNA	3503.66
mRNA	32.8796
mRNA	0
mRNA	1098.52
mRNA	6710.67
mRNA	8.4627
mRNA	0
mRNA	668.634
mRNA	1556.39
mRNA	39.801
mRNA	570.78
mRNA	45.73
mRNA	1184.43
mRNA	4.0747
mRNA	1435.16
mRNA	5.5154
mRNA	2.1513
mRNA	1057.35
mRNA	0
mRNA	231.601
mRNA	0
mRNA	1125.68
mRNA	0
mRNA	970.223000000001
mRNA	0.5634
mRNA	0
mRNA	435.683
