layer	PC	PC_number	variance_explained	variance_explained_percent
DNA methylation	PC386	386	3.5846700804631216e-4	0.036
DNA methylation	PC387	387	3.5784274330584936e-4	0.036
DNA methylation	PC388	388	3.569791730739845e-4	0.036
DNA methylation	PC389	389	3.5526867476161437e-4	0.036
DNA methylation	PC390	390	3.542127808728172e-4	0.035
DNA methylation	PC391	391	3.5205545016133056e-4	0.035
DNA methylation	PC392	392	3.5101329883028334e-4	0.035
DNA methylation	PC393	393	3.491716988613831e-4	0.035
DNA methylation	PC394	394	3.4800032605747903e-4	0.035
DNA methylation	PC395	395	3.461674306517852e-4	0.035
DNA methylation	PC396	396	3.44876991534976e-4	0.034
DNA methylation	PC397	397	3.447342785683723e-4	0.034
DNA methylation	PC398	398	3.421048608775108e-4	0.034
DNA methylation	PC399	399	3.398826262948463e-4	0.034
DNA methylation	PC400	400	3.3907784542481665e-4	0.034
DNA methylation	PC401	401	3.3794916022372414e-4	0.034
DNA methylation	PC402	402	3.360553382384419e-4	0.034
DNA methylation	PC403	403	3.34795018239544e-4	0.033
DNA methylation	PC404	404	3.3350532997594316e-4	0.033
DNA methylation	PC405	405	3.3246814776549113e-4	0.033
DNA methylation	PC406	406	3.310414341835848e-4	0.033
DNA methylation	PC407	407	3.303695254552618e-4	0.033
DNA methylation	PC408	408	3.2903142063842473e-4	0.033
DNA methylation	PC409	409	3.26863598794188e-4	0.033
DNA methylation	PC410	410	3.257606807508316e-4	0.033
DNA methylation	PC411	411	3.2531613291203205e-4	0.033
DNA methylation	PC412	412	3.2249949765621866e-4	0.032
DNA methylation	PC413	413	3.2146573615970996e-4	0.032
DNA methylation	PC414	414	3.204372506370359e-4	0.032
DNA methylation	PC415	415	3.200456955995445e-4	0.032
DNA methylation	PC416	416	3.185819739888439e-4	0.032
DNA methylation	PC417	417	3.1703325336773265e-4	0.032
DNA methylation	PC418	418	3.1374980034332367e-4	0.031
DNA methylation	PC419	419	3.1283758454632725e-4	0.031
DNA methylation	PC420	420	3.1114948501815236e-4	0.031
DNA methylation	PC421	421	3.099880961132369e-4	0.031
DNA methylation	PC422	422	3.0869641106767714e-4	0.031
DNA methylation	PC423	423	3.0685434625330854e-4	0.031
DNA methylation	PC424	424	3.0574549975543e-4	0.031
DNA methylation	PC425	425	3.055448688551294e-4	0.031
DNA methylation	PC426	426	3.0230066031145203e-4	0.03
DNA methylation	PC427	427	3.0171971639019634e-4	0.03
DNA methylation	PC428	428	3.0108986907953603e-4	0.03
DNA methylation	PC429	429	3.000341635182872e-4	0.03
DNA methylation	PC430	430	2.9831383021570063e-4	0.03
DNA methylation	PC431	431	2.969407668809284e-4	0.03
DNA methylation	PC432	432	2.9635086006644517e-4	0.03
DNA methylation	PC433	433	2.94098026925845e-4	0.029
DNA methylation	PC434	434	2.932999533387478e-4	0.029
DNA methylation	PC435	435	2.928765983347346e-4	0.029
DNA methylation	PC436	436	2.918238764820064e-4	0.029
DNA methylation	PC437	437	2.8940138159648597e-4	0.029
DNA methylation	PC438	438	2.8872627317349056e-4	0.029
DNA methylation	PC439	439	2.877236231400488e-4	0.029
DNA methylation	PC440	440	2.855625973065671e-4	0.029
DNA methylation	PC441	441	2.8511257036864605e-4	0.029
DNA methylation	PC442	442	2.82691987518045e-4	0.028
DNA methylation	PC443	443	2.8055874314449167e-4	0.028
DNA methylation	PC444	444	2.7943589772185917e-4	0.028
DNA methylation	PC445	445	2.7852960363138583e-4	0.028
DNA methylation	PC446	446	2.775939462436685e-4	0.028
DNA methylation	PC447	447	2.7595306574838976e-4	0.028
DNA methylation	PC448	448	2.754807204941202e-4	0.028
DNA methylation	PC449	449	2.742070981667984e-4	0.027
DNA methylation	PC450	450	2.7196520586005984e-4	0.027
DNA methylation	PC451	451	2.715440003415897e-4	0.027
DNA methylation	PC452	452	2.702272457012245e-4	0.027
DNA methylation	PC453	453	2.6877951786043056e-4	0.027
DNA methylation	PC454	454	2.674444848992258e-4	0.027
DNA methylation	PC455	455	2.663939639192241e-4	0.027
DNA methylation	PC456	456	2.653065756075608e-4	0.027
DNA methylation	PC457	457	2.646603485711038e-4	0.026
DNA methylation	PC458	458	2.6219157444561976e-4	0.026
DNA methylation	PC459	459	2.615088380125616e-4	0.026
DNA methylation	PC460	460	2.6011254805657533e-4	0.026
DNA methylation	PC461	461	2.573857690614656e-4	0.026
DNA methylation	PC462	462	2.5642126438036434e-4	0.026
DNA methylation	PC463	463	2.555284916218628e-4	0.026
DNA methylation	PC464	464	2.5491360852229446e-4	0.025
DNA methylation	PC465	465	2.537426901805816e-4	0.025
DNA methylation	PC466	466	2.51784523187404e-4	0.025
DNA methylation	PC467	467	2.515796022164765e-4	0.025
DNA methylation	PC468	468	2.505904346403037e-4	0.025
DNA methylation	PC469	469	2.494038772659692e-4	0.025
DNA methylation	PC470	470	2.486408437740239e-4	0.025
DNA methylation	PC471	471	2.4714901920274524e-4	0.025
DNA methylation	PC472	472	2.452973106429784e-4	0.025
DNA methylation	PC473	473	2.4427660840601353e-4	0.024
DNA methylation	PC474	474	2.4300225043524047e-4	0.024
DNA methylation	PC475	475	2.412225372568945e-4	0.024
DNA methylation	PC476	476	2.3997914404778737e-4	0.024
DNA methylation	PC477	477	2.3807095672002094e-4	0.024
DNA methylation	PC478	478	2.3802225292566913e-4	0.024
DNA methylation	PC479	479	2.372930237759997e-4	0.024
DNA methylation	PC480	480	2.3539136858622927e-4	0.024
DNA methylation	PC481	481	2.350558988607283e-4	0.024
DNA methylation	PC482	482	2.337185750629173e-4	0.023
DNA methylation	PC483	483	2.324289060149865e-4	0.023
DNA methylation	PC484	484	2.312227292419785e-4	0.023
DNA methylation	PC485	485	2.2906595165922804e-4	0.023
DNA methylation	PC486	486	2.2825504089969866e-4	0.023
DNA methylation	PC487	487	2.273666959911836e-4	0.023
DNA methylation	PC488	488	2.2508456958127113e-4	0.023
DNA methylation	PC489	489	2.2406708496437776e-4	0.022
DNA methylation	PC490	490	2.2245273986469546e-4	0.022
DNA methylation	PC491	491	2.2107962030750973e-4	0.022
DNA methylation	PC492	492	2.1976122802263497e-4	0.022
DNA methylation	PC493	493	2.1809528387136822e-4	0.022
DNA methylation	PC494	494	2.1698317299448405e-4	0.022
DNA methylation	PC495	495	2.1662319036619017e-4	0.022
DNA methylation	PC496	496	2.1570921183916277e-4	0.022
DNA methylation	PC497	497	2.1447907416381247e-4	0.021
DNA methylation	PC498	498	2.1399971210986154e-4	0.021
