layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
RPPA	1	NDRG1|NDRG1_pT346	5	0.25428488675275585	0.24136502519409597
RPPA	1	ERBB2|HER2	5	0.22990350829962158	0.22623848749388104
RPPA	1	IGFBP2|IGFBP2	5	0.21843199101996208	0.21928492959661616
RPPA	1	MAPK9|JNK2	5	0.21629525085711465	0.21940544211176888
RPPA	1	PRKCB|PKC-pan_BetaII_pS660	5	0.21396417232924675	0.2127857943936116
RPPA	1	GAB2|GAB2	5	0.20829089274741955	0.2109730190276664
RPPA	1	ERBB3|HER3	5	0.2029893291409951	0.2070015343834428
RPPA	1	GSK3A GSK3B|GSK3-alpha-beta	5	0.19852895814810262	0.20147728030057985
RPPA	1	FOXM1|FoxM1	5	0.19042198871595487	0.1937139381060989
RPPA	1	NOTCH1|Notch1	5	0.1778903588293263	0.1647832713331051
RPPA	1	EIF4EBP1|4E-BP1	5	0.17535871293320984	0.17703468426034633
RPPA	1	INPP4B|INPP4B	5	0.16596834131825622	0.17144103705686534
RPPA	1	ITGA2|CD49b	5	0.13192960531816542	0.13437965347628048
RPPA	1	GAPDH|GAPDH	5	0.12653471939728936	0.1237323677540832
RPPA	1	SERPINE1|PAI-1	5	0.11738084820152025	0.1236695690490457
RPPA	1	DVL3|Dvl3	5	0.11285304990846562	0.11971190960033895
RPPA	1	ERRFI1|MIG-6	5	0.11060894623326992	0.11138293063137322
RPPA	1	CCNB1|Cyclin_B1	5	0.0930936545259239	0.10107368162145765
RPPA	1	PCNA|PCNA	5	0.08728972041114844	0.09968486146402415
RPPA	1	KIT|c-Kit	5	0.08322950568520343	0.10083886214136391
RPPA	1	STAT3|STAT3_pY705	5	0.08239119959064645	0.10165082913324247
RPPA	1	AKT1 AKT2 AKT3|Akt_pT308	5	0.07945047643617095	0.08030673704956845
RPPA	1	ASNS|ASNS	5	0.07226434175307753	0.07449780155959174
RPPA	1	MTOR|mTOR_pS2448	4	0.09906335496403021	0.09616568081716831
RPPA	1	PRKCA |PKC-alpha_pS657	4	0.09564728938599822	0.09375515375903506
RPPA	1	TSC2|Tuberin_pT1462	4	0.08922296930485962	0.10203638768240593
RPPA	1	BCL2L1|Bcl-xL	4	0.08002653848018847	0.07553652732386693
RPPA	1	MSH6|MSH6	4	0.07422248908077032	0.07044550819006315
RPPA	1	CHEK2|Chk2	4	0.055859890891184545	0.04521224403535105
RPPA	1	CLDN7|Claudin-7	4	0.048298225823940215	0.052887272703459165
RPPA	1	RPS6KA1|p90RSK	4	0.045858881977452436	0.03992542545710635
